Time,"Extended, no TM","Classic, no TM","Extended, TM"
0,-0.143203370927729,-0.288450971665510,-0.0144852267286386
0.1,-0.145446940583335,-0.291007409922736,-0.0149791023539431
0.2,-0.150876005669753,-0.297374822969226,-0.0160969957673962
0.3,-0.155946358257100,-0.305291718597599,-0.0164887735688496
0.4,-0.159274503900807,-0.313609350690615,-0.0158728691859282
0.5,-0.160448662029892,-0.321207124707369,-0.0150127592911974
0.6,-0.159267954340899,-0.327507647129930,-0.0140116033702051
0.7,-0.156279982306159,-0.332713801041564,-0.0130059530557870
0.8,-0.152364606517879,-0.336903897340522,-0.0116740239440210
0.9,-0.147641581086609,-0.339636834311261,-0.00970383454829615
1.0,-0.141879768903005,-0.340610332879928,-0.00804658413033710
1.1,-0.135471964443421,-0.340083293384667,-0.00700613037701658
1.2,-0.128919924168012,-0.338265663989477,-0.00657842755706362
1.3,-0.122214711659661,-0.335001018412549,-0.00629459797496812
1.4,-0.115380833914472,-0.330353000057686,-0.00527276880879168
1.5,-0.108674182839828,-0.324658748781029,-0.00461213545973871
1.6,-0.102173746713200,-0.318064970800688,-0.00476896997321485
1.7,-0.0956364932781122,-0.310395777133464,-0.00553142738990753
1.8,-0.0888521545783045,-0.301466401420376,-0.00662137773472082
1.9,-0.0819539699225870,-0.291493481938060,-0.00734039220080573
2.0,-0.0751525173320534,-0.280782229263605,-0.00803615980739469
2.1,-0.0683953687152790,-0.269244246539569,-0.00959117189275482
2.2,-0.0615866147977688,-0.256740517107571,-0.0118003648081607
2.3,-0.0548302730721724,-0.243443078727962,-0.0144676679242021
2.4,-0.0482536671752786,-0.229540364424337,-0.0173090212328380
2.5,-0.0418726377314880,-0.214993806517747,-0.0202272159788093
2.6,-0.0364524114054577,-0.201245429472508,-0.0237624769975980
2.7,-0.0332449425952682,-0.192205283193928,-0.0266342823311110
2.8,-0.0315918186423191,-0.187198382690068,-0.0283091460519728
2.9,-0.0307651575599593,-0.184537897619483,-0.0289993727664863
3.0,-0.0303427053568508,-0.183104567866699,-0.0290319018840439
3.1,-0.0301145602648256,-0.182306895377201,-0.0291735391386740
3.2,-0.0299825584138782,-0.181852016478408,-0.0294386011610575
3.3,-0.0299021148840827,-0.181596290206109,-0.0296499068981385
3.4,-0.0298527268230226,-0.181460916611389,-0.0297896837630728
3.5,-0.0298238998152361,-0.181395843048935,-0.0298833312421580
